//Score block 1
M, LeftKneeLiftAndCross,0,0,0,1,572
//M, LeftKneeLift,0,0,0,2,111
M, LeftKneeKick,0,0,0,2,669
//M, LeftFootLiftCross,0,0,0,3,111
//M, LeftKneeKick,0,0,0,3,612
M, RightKneeBack,0,0,0,4,93
F, LeftKneeLiftAndCross,0,0,0,1,572
//F, LeftKneeLift,0,0,0,2,111
F, LeftKneeKick,0,0,0,2,669
//F, LeftFootLiftCross,0,0,0,3,111
//F, LeftKneeKick,0,0,0,3,612
F, RightKneeBack,0,0,0,4,93
N, Score1,0,0,0,5,100
//Score block 2
M, LeftKneeLiftAndCross,0,0,0,5,505
//M, FrontHop,0,0,0,6,949
M, RightKneeBack,0,0,0,7,430
//M, RightKneeBack,0,0,0,8,431
M, LeftKneeLiftAndCross,0,0,0,9,547
//M, LeftKneeLift,0,0,0,10,80
M, LeftKneeKick,0,0,0,10,614
//M, LeftFootLiftCross,0,0,0,11,30
M, LeftKneeKick,0,0,0,11,513
//M, RightKneeBack,0,0,0,11,997
M, LeftKneeLiftAndCross,0,0,0,13,345
//M, FrontHop,0,0,0,14,845
M, RightKneeBack,0,0,0,15,427
//M, RightKneeBack,0,0,0,16,427
F, LeftKneeLiftAndCross,0,0,0,5,505
//F, FrontHop,0,0,0,6,949
F, RightKneeBack,0,0,0,7,430
//F, RightKneeBack,0,0,0,8,431
F, LeftKneeLiftAndCross,0,0,0,9,547
//F, LeftKneeLift,0,0,0,10,80
F, LeftKneeKick,0,0,0,10,614
//F, LeftFootLiftCross,0,0,0,11,30
F, LeftKneeKick,0,0,0,11,513
//F, RightKneeBack,0,0,0,11,997
F, LeftKneeLiftAndCross,0,0,0,13,345
//F, FrontHop,0,0,0,14,845
F, RightKneeBacK,0,0,0,15,427
//F, RightKneeBacK,0,0,0,16,427
N, Score2,0,0,0,16,500
//Score block 3
M, LeftKneeLift,0,0,0,17,151
//M, RightKneeKick,0,0,0,18,198
M, LeftKneeLift,0,0,0,19,161
//M, RightKneeBack,0,0,0,20,125
M, RightKneeBack,0,0,0,21,131
//M, RightKneeKick,0,0,0,21,624
M, LeftKneeLift,0,0,0,22,75
//M, RightKneeLift,0,0,0,22,342
M, RightKneeKick,0,0,0,22,609
//M, LeftKneeLift,0,0,0,23,163
M, RightKneeLift,0,0,0,23,450
//M, RightKneeKick,0,0,0,23,737
M, LeftKneeLift,0,0,0,24,312
//M, RightKneeKick,0,0,0,25,132
M, LeftKneeLift,0,0,0,26,158
F, BackSpinRightKneeLift,0,0,0,16,975
F, ScrollingHandsLeft,0,0,0,18,745
F, CrazyHands,0,0,0,20,742
F, CrazyHandsCrouch,0,0,0,22,882
F, BackSpinRightKneeLift,0,0,0,24,177
N, Score3,0,0,0,26,600
//Score block 4
M, LeftKneeLiftAndCross,0,0,0,27,207
//M, LeftKneeLift,0,0,0,27,722
